﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025030113,   1011.8,   1015.3,     27.8,     17.7,       54,      1.3,    320.0,      5.4,    340.0,      0.0,      0.0,      1.0,     3.07,     None,     9.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030114,   1010.7,   1014.2,     27.4,     17.0,       53,      2.5,    340.0,      6.0,    340.0,      0.0,      0.0,      1.0,     2.64,     None,     7.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030115,   1010.3,   1013.8,     27.6,     16.9,       52,      1.7,    340.0,      5.1,    330.0,      0.0,      0.0,      0.9,     2.36,     None,     5.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030116,   1010.0,   1013.5,     26.2,     17.3,       58,      1.1,    320.0,      4.8,    320.0,      0.0,      0.0,      0.1,     0.91,     None,     2.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030117,   1010.2,   1013.7,     26.5,     17.9,       59,      0.6,     30.0,      3.6,    320.0,      0.0,      0.0,      0.1,     0.60,     None,     0.76,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030118,   1010.4,   1013.9,     25.3,     18.8,       67,      2.0,    100.0,      4.9,     90.0,      0.0,      0.0,      0.0,     0.14,     None,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030119,   1010.4,   1013.9,     24.7,     18.9,       70,      1.9,    100.0,      4.7,    120.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030120,   1010.7,   1014.2,     24.2,     18.8,       72,      1.6,    160.0,      3.8,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030121,   1010.9,   1014.4,     23.7,     18.4,       72,      1.0,    130.0,      3.4,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030122,   1011.3,   1014.8,     23.3,     18.2,       73,      1.2,     90.0,      2.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030123,   1010.8,   1014.3,     22.6,     18.4,       77,      0.8,    180.0,      2.8,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030124,   1010.8,   1014.4,     22.1,     18.5,       80,      0.9,    190.0,      2.1,    240.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030201,   1010.9,   1014.5,     22.0,     17.8,       77,      1.3,    180.0,      2.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030202,   1010.6,   1014.2,     21.4,     17.8,       80,      0.9,    230.0,      3.8,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030203,   1010.2,   1013.8,     21.4,     17.4,       78,      2.0,    180.0,      4.1,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030204,   1010.3,   1013.9,     21.0,     17.2,       79,      1.3,    210.0,      2.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030205,   1010.6,   1014.2,     20.8,     17.2,       80,      1.3,    230.0,      4.2,    200.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030206,   1011.1,   1014.7,     20.8,     17.4,       81,      1.2,    180.0,      3.9,    170.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030207,   1011.2,   1014.8,     20.8,     18.0,       84,      0.7,    170.0,      3.5,    140.0,      0.0,      0.0,      0.0,     0.05,     None,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030208,   1012.2,   1015.8,     21.2,     18.2,       83,      0.3,    340.0,      1.9,    240.0,      0.0,      0.0,      0.0,     0.26,     None,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030209,   1012.5,   1016.1,     22.7,     18.1,       75,      1.1,    220.0,      2.4,    200.0,      0.0,      0.0,      0.7,     0.92,     None,     2.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030210,   1012.1,   1015.6,     23.4,     18.1,       72,      0.9,    120.0,      2.5,    170.0,      0.0,      0.0,      0.1,     1.17,     None,     3.75,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030211,   1011.8,   1015.3,     25.1,     17.8,       64,      0.5,    180.0,      2.4,    120.0,      0.0,      0.0,      0.0,     1.27,     None,     4.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030212,   1011.0,   1014.5,     26.1,     18.3,       62,      0.3,    140.0,      2.0,    340.0,      0.0,      0.0,      0.1,     1.45,     None,     5.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030213,   1009.6,   1013.1,     26.6,     17.1,       56,      1.2,    170.0,      2.8,    140.0,      0.0,      0.0,      0.0,     1.31,     None,     4.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030214,   1007.9,   1011.4,     28.8,     16.7,       48,      1.1,    160.0,      3.7,    110.0,      0.0,      0.0,      0.6,     2.50,     None,     7.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030215,   1007.3,   1010.8,     29.1,     17.3,       49,      0.5,     70.0,      2.8,     80.0,      0.0,      0.0,      0.4,     1.71,     None,     4.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030216,   1007.1,   1010.6,     28.8,     17.7,       51,      0.6,    150.0,      3.4,    140.0,      0.0,      0.0,      0.9,     1.57,     None,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030217,   1007.4,   1010.9,     25.9,     18.3,       63,      2.6,    340.0,      5.6,    350.0,      0.0,      0.0,      0.9,     0.79,     None,     0.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030218,   1007.9,   1011.4,     24.8,     18.3,       67,      1.3,    340.0,      6.5,    350.0,      0.0,      0.0,      0.1,     0.09,     None,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030219,   1008.1,   1011.6,     24.4,     18.8,       71,      1.2,    340.0,      3.8,    350.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030220,   1008.5,   1012.0,     23.8,     19.1,       75,      1.2,    120.0,      2.6,     10.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030221,   1008.6,   1012.1,     23.4,     19.2,       77,      0.3,    190.0,      1.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030222,   1008.5,   1012.0,     23.4,     19.2,       77,      0.4,    190.0,      1.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030223,   1008.4,   1011.9,     23.2,     19.2,       78,      1.1,    200.0,      4.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030224,   1008.4,   1011.9,     22.6,     19.4,       82,      0.8,    130.0,      1.7,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030301,   1007.8,   1011.3,     22.5,     18.9,       80,      1.1,    230.0,      2.7,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030302,   1007.7,   1011.2,     22.2,     19.2,       83,      0.4,    150.0,      2.8,    200.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030303,   1007.4,   1010.9,     21.8,     19.4,       86,      0.9,    200.0,      2.1,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030304,   1007.3,   1010.8,     21.7,     19.3,       86,      1.1,    170.0,      3.2,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030305,   1007.4,   1010.9,     21.4,     19.3,       88,      0.6,    150.0,      2.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030306,   1008.2,   1011.8,     21.4,     19.2,       87,      0.7,    220.0,      2.0,    270.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030307,   1007.9,   1011.4,     21.5,     18.7,       84,      1.5,    150.0,      5.0,    160.0,      0.0,      0.0,      0.0,     0.05,     None,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030308,   1008.7,   1012.2,     22.4,     18.8,       80,      0.9,    200.0,      2.6,    170.0,      0.0,      0.0,      0.0,     0.34,     None,     0.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030309,   1009.2,   1012.7,     23.5,     18.8,       75,      1.3,    170.0,      3.6,    170.0,      0.0,      0.0,      0.2,     0.89,     None,     1.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030310,   1009.2,   1012.7,     24.1,     19.2,       74,      0.8,    240.0,      3.6,    170.0,      0.0,      0.0,      0.0,     0.49,     None,     1.51,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030311,   1008.9,   1012.4,     25.1,     19.7,       72,      0.5,    260.0,      4.7,    130.0,      0.0,      0.0,      0.1,     1.02,     None,     3.33,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030312,   1008.1,   1011.6,     25.1,     19.9,       73,      0.9,    190.0,      2.9,    170.0,     -9.8,      0.1,      0.0,     0.45,     None,     1.78,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030313,   1007.0,   1010.5,     25.6,     20.4,       73,      1.0,    120.0,      5.3,    340.0,      0.0,      0.0,      0.0,     0.73,     None,     2.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030314,   1006.8,   1010.3,     26.4,     20.5,       70,      0.7,    320.0,      5.1,    350.0,      0.0,      0.0,      0.0,     1.06,     None,     3.57,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030315,   1006.2,   1009.7,     26.6,     20.5,       69,      0.6,    320.0,      4.1,    340.0,      0.0,      0.0,      0.0,     0.97,     None,     2.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030316,   1006.4,   1009.9,     26.3,     20.2,       69,      2.1,    110.0,      5.5,    120.0,      0.0,      0.0,      0.0,     0.56,     None,     1.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030317,   1006.5,   1010.0,     25.5,     21.2,       77,      0.9,    330.0,      5.3,    100.0,      0.0,      0.0,      0.1,     0.48,     None,     0.73,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030318,   1006.6,   1010.1,     24.4,     20.5,       79,      1.7,    120.0,      3.8,     90.0,      0.0,      0.0,      0.0,     0.06,     None,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030319,   1006.8,   1010.3,     23.9,     20.5,       81,      2.1,     60.0,      3.5,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030320,   1008.2,   1011.7,     23.8,     20.9,       84,      0.8,    290.0,      3.2,    280.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030321,   1008.8,   1012.3,     23.4,     20.6,       84,      0.6,    190.0,      5.0,    330.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030322,   1009.0,   1012.5,     23.6,     20.4,       82,      1.0,     70.0,      2.2,     60.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030323,   1009.4,   1013.0,     21.3,     19.8,       91,      4.0,    330.0,      8.7,    350.0,     -9.8,      0.3,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030324,   1010.1,   1013.7,     19.5,     18.5,       94,      3.7,    310.0,      8.3,    350.0,      3.5,      0.8,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030401,   1009.9,   1013.5,     19.7,     19.0,       96,      1.8,    220.0,      7.2,    240.0,     16.0,      0.8,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030402,   1009.7,   1013.3,     20.0,     19.3,       96,      0.8,    250.0,      3.0,    220.0,      4.0,      0.5,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030403,   1010.1,   1013.7,     20.0,     19.3,       96,      0.9,    330.0,      3.1,    320.0,      0.5,      0.5,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030404,   1010.2,   1013.8,     20.2,     19.7,       97,      2.1,    140.0,      4.9,    180.0,     13.0,      0.9,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030405,   1008.5,   1012.1,     20.0,     19.2,       95,      1.0,    100.0,      7.5,    180.0,      1.5,      0.6,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030406,   1008.6,   1012.2,     20.1,     19.4,       96,      1.1,    100.0,      3.4,    100.0,      0.5,      0.4,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030407,   1009.0,   1012.6,     20.1,     19.4,       96,      0.5,    190.0,      3.8,    180.0,      0.0,      0.0,      0.0,     0.04,     None,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030408,   1009.4,   1013.0,     21.2,     19.7,       91,      1.1,    130.0,      2.1,    190.0,     -9.8,      0.1,      0.2,     0.57,     None,     0.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030409,   1010.2,   1013.8,     21.6,     19.3,       87,      0.9,    210.0,      2.1,    250.0,     -9.8,      0.1,      0.2,     0.60,     None,     1.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030410,   1008.7,   1012.2,     22.6,     20.1,       86,      0.6,    140.0,      4.3,     90.0,     -9.8,      0.2,      0.0,     0.70,     None,     1.95,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030411,   1008.7,   1012.3,     21.3,     18.7,       85,      1.9,     40.0,      8.2,    100.0,      0.5,      0.3,      0.1,     0.77,     None,     2.44,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030412,   1007.8,   1011.4,     20.7,     18.6,       88,      3.9,    100.0,     10.3,    130.0,      1.5,      0.3,      0.0,     0.84,     None,     3.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030413,   1006.2,   1009.7,     23.3,     19.9,       81,      2.8,    100.0,     10.2,     80.0,      0.0,      0.0,      0.7,     2.58,     None,     8.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030414,   1005.1,   1008.6,     25.6,     20.4,       73,      2.7,    100.0,      8.0,    100.0,      0.0,      0.0,      1.0,     2.70,     None,     8.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030415,   1004.9,   1008.4,     26.0,     19.7,       68,      3.8,    120.0,     10.0,    120.0,      0.0,      0.0,      0.5,     1.82,     None,     4.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030416,   1004.9,   1008.4,     25.0,     18.9,       69,      4.3,    120.0,      8.7,    110.0,      0.0,      0.0,      0.0,     0.44,     None,     1.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030417,   1006.3,   1009.8,     24.2,     18.4,       70,      2.4,    110.0,      7.8,    140.0,     -9.8,      0.1,      0.0,     0.12,     None,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030418,   1010.0,   1013.6,     21.3,     20.0,       92,      1.2,    290.0,      8.5,    340.0,      3.5,      0.8,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030419,   1010.7,   1014.3,     20.5,     19.7,       95,      2.1,    150.0,      7.1,    340.0,     10.5,      0.9,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030420,   1010.6,   1014.2,     18.6,     16.9,       90,      3.7,    130.0,      9.7,    120.0,      1.5,      0.3,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030421,   1010.4,   1014.0,     18.3,     17.0,       92,      3.5,    120.0,     10.7,    140.0,      0.5,      0.3,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030422,   1010.2,   1013.8,     18.2,     16.7,       91,      3.6,    100.0,     10.7,    120.0,      0.5,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030423,   1010.7,   1014.3,     18.4,     16.4,       88,      4.3,    100.0,     13.6,     90.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030424,   1011.8,   1015.4,     18.5,     16.1,       86,      3.9,    110.0,     11.0,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030501,   1012.1,   1015.7,     18.0,     16.3,       90,      2.6,    130.0,      6.4,    110.0,      1.0,      0.6,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030502,   1011.5,   1015.1,     17.1,     15.6,       91,      3.4,    130.0,      6.8,    120.0,      2.0,      0.7,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030503,   1010.6,   1014.2,     17.2,     16.1,       93,      3.7,    120.0,      8.6,    110.0,      0.5,      0.5,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030504,   1010.6,   1014.2,     17.4,     16.3,       93,      3.4,    100.0,      9.8,    100.0,      0.5,      0.4,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030505,   1011.3,   1014.9,     17.4,     16.6,       95,      3.2,    120.0,      8.7,    100.0,      4.5,      0.6,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030506,   1012.1,   1015.7,     17.6,     16.6,       94,      3.0,    100.0,      6.7,    110.0,      2.0,      0.6,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030507,   1013.3,   1016.9,     17.7,     16.6,       93,      1.9,     80.0,      8.3,     90.0,      1.0,      0.4,      0.0,     0.02,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030508,   1014.3,   1017.9,     18.0,     16.5,       91,      1.8,    130.0,      6.8,    120.0,      0.5,      0.1,      0.0,     0.08,     None,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030509,   1014.2,   1017.8,     17.7,     16.4,       92,      2.2,    100.0,      8.4,    100.0,      1.5,      0.4,      0.0,     0.21,     None,     0.57,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030510,   1014.0,   1017.6,     17.8,     16.1,       90,      3.2,    100.0,      9.3,     90.0,      0.5,      0.3,      0.0,     0.49,     None,     1.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030511,   1013.4,   1017.0,     17.7,     15.7,       88,      4.2,    100.0,      9.5,     90.0,     -9.8,      0.1,      0.0,     0.63,     None,     2.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025030512,   1012.6,   1016.2,     18.3,     15.6,       84,      3.3,    100.0,      8.2,    100.0,      0.0,      0.0,      0.0,     0.96,     None,     3.36,     None,     None,     None,     None,     None,     None,     None,     None
